freq (Hz),H(f) (dB),H(f) (dB)
-10.00E6,-14.15,-15.68
-9.980E6,-14.14,-15.67
-9.960E6,-14.12,-15.66
-9.940E6,-14.10,-15.64
-9.920E6,-14.09,-15.63
-9.900E6,-14.07,-15.61
-9.880E6,-14.05,-15.60
-9.860E6,-14.03,-15.58
-9.840E6,-14.02,-15.57
-9.820E6,-14.00,-15.56
-9.800E6,-13.98,-15.54
-9.780E6,-13.97,-15.53
-9.760E6,-13.95,-15.51
-9.740E6,-13.93,-15.50
-9.720E6,-13.92,-15.48
-9.700E6,-13.90,-15.47
-9.680E6,-13.88,-15.46
-9.660E6,-13.86,-15.44
-9.640E6,-13.85,-15.43
-9.620E6,-13.83,-15.41
-9.600E6,-13.81,-15.40
-9.580E6,-13.79,-15.38
-9.560E6,-13.78,-15.37
-9.540E6,-13.76,-15.35
-9.520E6,-13.74,-15.34
-9.500E6,-13.72,-15.32
-9.480E6,-13.71,-15.31
-9.460E6,-13.69,-15.30
-9.440E6,-13.67,-15.28
-9.420E6,-13.65,-15.27
-9.400E6,-13.64,-15.25
-9.380E6,-13.62,-15.24
-9.360E6,-13.60,-15.22
-9.340E6,-13.58,-15.21
-9.320E6,-13.57,-15.19
-9.300E6,-13.55,-15.18
-9.280E6,-13.53,-15.16
-9.260E6,-13.51,-15.15
-9.240E6,-13.49,-15.13
-9.220E6,-13.48,-15.12
-9.200E6,-13.46,-15.10
-9.180E6,-13.44,-15.09
-9.160E6,-13.42,-15.07
-9.140E6,-13.40,-15.06
-9.120E6,-13.39,-15.04
-9.100E6,-13.37,-15.03
-9.080E6,-13.35,-15.01
-9.060E6,-13.33,-15.00
-9.040E6,-13.31,-14.98
-9.020E6,-13.29,-14.97
-9.000E6,-13.28,-14.95
-8.980E6,-13.26,-14.94
-8.960E6,-13.24,-14.92
-8.940E6,-13.22,-14.90
-8.920E6,-13.20,-14.89
-8.900E6,-13.18,-14.87
-8.880E6,-13.16,-14.86
-8.860E6,-13.15,-14.84
-8.840E6,-13.13,-14.83
-8.820E6,-13.11,-14.81
-8.800E6,-13.09,-14.80
-8.780E6,-13.07,-14.78
-8.760E6,-13.05,-14.77
-8.740E6,-13.03,-14.75
-8.720E6,-13.01,-14.73
-8.700E6,-13.00,-14.72
-8.680E6,-12.98,-14.70
-8.660E6,-12.96,-14.69
-8.640E6,-12.94,-14.67
-8.620E6,-12.92,-14.66
-8.600E6,-12.90,-14.64
-8.580E6,-12.88,-14.62
-8.560E6,-12.86,-14.61
-8.540E6,-12.84,-14.59
-8.520E6,-12.82,-14.58
-8.500E6,-12.80,-14.56
-8.480E6,-12.78,-14.54
-8.460E6,-12.77,-14.53
-8.440E6,-12.75,-14.51
-8.420E6,-12.73,-14.50
-8.400E6,-12.71,-14.48
-8.380E6,-12.69,-14.46
-8.360E6,-12.67,-14.45
-8.340E6,-12.65,-14.43
-8.320E6,-12.63,-14.42
-8.300E6,-12.61,-14.40
-8.280E6,-12.59,-14.38
-8.260E6,-12.57,-14.37
-8.240E6,-12.55,-14.35
-8.220E6,-12.53,-14.33
-8.200E6,-12.51,-14.32
-8.180E6,-12.49,-14.30
-8.160E6,-12.47,-14.28
-8.140E6,-12.45,-14.27
-8.120E6,-12.43,-14.25
-8.100E6,-12.41,-14.23
-8.080E6,-12.39,-14.22
-8.060E6,-12.37,-14.20
-8.040E6,-12.35,-14.19
-8.020E6,-12.33,-14.17
-8.000E6,-12.31,-14.15
-7.980E6,-12.29,-14.13
-7.960E6,-12.27,-14.12
-7.940E6,-12.25,-14.10
-7.920E6,-12.22,-14.08
-7.900E6,-12.20,-14.07
-7.880E6,-12.18,-14.05
-7.860E6,-12.16,-14.03
-7.840E6,-12.14,-14.02
-7.820E6,-12.12,-14.00
-7.800E6,-12.10,-13.98
-7.780E6,-12.08,-13.97
-7.760E6,-12.06,-13.95
-7.740E6,-12.04,-13.93
-7.720E6,-12.02,-13.91
-7.700E6,-12.00,-13.90
-7.680E6,-11.97,-13.88
-7.660E6,-11.95,-13.86
-7.640E6,-11.93,-13.85
-7.620E6,-11.91,-13.83
-7.600E6,-11.89,-13.81
-7.580E6,-11.87,-13.79
-7.560E6,-11.85,-13.78
-7.540E6,-11.82,-13.76
-7.520E6,-11.80,-13.74
-7.500E6,-11.78,-13.72
-7.480E6,-11.76,-13.71
-7.460E6,-11.74,-13.69
-7.440E6,-11.72,-13.67
-7.420E6,-11.69,-13.65
-7.400E6,-11.67,-13.64
-7.380E6,-11.65,-13.62
-7.360E6,-11.63,-13.60
-7.340E6,-11.61,-13.58
-7.320E6,-11.58,-13.57
-7.300E6,-11.56,-13.55
-7.280E6,-11.54,-13.53
-7.260E6,-11.52,-13.51
-7.240E6,-11.50,-13.49
-7.220E6,-11.47,-13.48
-7.200E6,-11.45,-13.46
-7.180E6,-11.43,-13.44
-7.160E6,-11.41,-13.42
-7.140E6,-11.38,-13.40
-7.120E6,-11.36,-13.39
-7.100E6,-11.34,-13.37
-7.080E6,-11.32,-13.35
-7.060E6,-11.29,-13.33
-7.040E6,-11.27,-13.31
-7.020E6,-11.25,-13.29
-7.000E6,-11.22,-13.28
-6.980E6,-11.20,-13.26
-6.960E6,-11.18,-13.24
-6.940E6,-11.16,-13.22
-6.920E6,-11.13,-13.20
-6.900E6,-11.11,-13.18
-6.880E6,-11.09,-13.16
-6.860E6,-11.06,-13.15
-6.840E6,-11.04,-13.13
-6.820E6,-11.02,-13.11
-6.800E6,-10.99,-13.09
-6.780E6,-10.97,-13.07
-6.760E6,-10.95,-13.05
-6.740E6,-10.92,-13.03
-6.720E6,-10.90,-13.01
-6.700E6,-10.87,-13.00
-6.680E6,-10.85,-12.98
-6.660E6,-10.83,-12.96
-6.640E6,-10.80,-12.94
-6.620E6,-10.78,-12.92
-6.600E6,-10.75,-12.90
-6.580E6,-10.73,-12.88
-6.560E6,-10.71,-12.86
-6.540E6,-10.68,-12.84
-6.520E6,-10.66,-12.82
-6.500E6,-10.63,-12.80
-6.480E6,-10.61,-12.78
-6.460E6,-10.58,-12.76
-6.440E6,-10.56,-12.75
-6.420E6,-10.53,-12.73
-6.400E6,-10.51,-12.71
-6.380E6,-10.49,-12.69
-6.360E6,-10.46,-12.67
-6.340E6,-10.44,-12.65
-6.320E6,-10.41,-12.63
-6.300E6,-10.39,-12.61
-6.280E6,-10.36,-12.59
-6.260E6,-10.34,-12.57
-6.240E6,-10.31,-12.55
-6.220E6,-10.28,-12.53
-6.200E6,-10.26,-12.51
-6.180E6,-10.23,-12.49
-6.160E6,-10.21,-12.47
-6.140E6,-10.18,-12.45
-6.120E6,-10.16,-12.43
-6.100E6,-10.13,-12.41
-6.080E6,-10.11,-12.39
-6.060E6,-10.08,-12.37
-6.040E6,-10.05,-12.35
-6.020E6,-10.03,-12.33
-6.000E6,-10.00,-12.31
-5.980E6,-9.976,-12.29
-5.960E6,-9.950,-12.27
-5.940E6,-9.924,-12.24
-5.920E6,-9.897,-12.22
-5.900E6,-9.871,-12.20
-5.880E6,-9.845,-12.18
-5.860E6,-9.818,-12.16
-5.840E6,-9.792,-12.14
-5.820E6,-9.765,-12.12
-5.800E6,-9.738,-12.10
-5.780E6,-9.711,-12.08
-5.760E6,-9.684,-12.06
-5.740E6,-9.657,-12.04
-5.720E6,-9.630,-12.02
-5.700E6,-9.603,-11.99
-5.680E6,-9.576,-11.97
-5.660E6,-9.549,-11.95
-5.640E6,-9.522,-11.93
-5.620E6,-9.494,-11.91
-5.600E6,-9.467,-11.89
-5.580E6,-9.439,-11.87
-5.560E6,-9.412,-11.85
-5.540E6,-9.384,-11.82
-5.520E6,-9.356,-11.80
-5.500E6,-9.328,-11.78
-5.480E6,-9.300,-11.76
-5.460E6,-9.272,-11.74
-5.440E6,-9.244,-11.72
-5.420E6,-9.216,-11.69
-5.400E6,-9.188,-11.67
-5.380E6,-9.159,-11.65
-5.360E6,-9.131,-11.63
-5.340E6,-9.102,-11.61
-5.320E6,-9.074,-11.58
-5.300E6,-9.045,-11.56
-5.280E6,-9.017,-11.54
-5.260E6,-8.988,-11.52
-5.240E6,-8.959,-11.50
-5.220E6,-8.930,-11.47
-5.200E6,-8.901,-11.45
-5.180E6,-8.872,-11.43
-5.160E6,-8.842,-11.41
-5.140E6,-8.813,-11.38
-5.120E6,-8.784,-11.36
-5.100E6,-8.754,-11.34
-5.080E6,-8.725,-11.32
-5.060E6,-8.695,-11.29
-5.040E6,-8.665,-11.27
-5.020E6,-8.635,-11.25
-5.000E6,-8.606,-11.22
-4.980E6,-8.576,-11.20
-4.960E6,-8.545,-11.18
-4.940E6,-8.515,-11.15
-4.920E6,-8.485,-11.13
-4.900E6,-8.455,-11.11
-4.880E6,-8.424,-11.09
-4.860E6,-8.394,-11.06
-4.840E6,-8.363,-11.04
-4.820E6,-8.332,-11.02
-4.800E6,-8.302,-10.99
-4.780E6,-8.271,-10.97
-4.760E6,-8.240,-10.94
-4.740E6,-8.209,-10.92
-4.720E6,-8.177,-10.90
-4.700E6,-8.146,-10.87
-4.680E6,-8.115,-10.85
-4.660E6,-8.083,-10.83
-4.640E6,-8.052,-10.80
-4.620E6,-8.020,-10.78
-4.600E6,-7.989,-10.75
-4.580E6,-7.957,-10.73
-4.560E6,-7.925,-10.71
-4.540E6,-7.893,-10.68
-4.520E6,-7.861,-10.66
-4.500E6,-7.829,-10.63
-4.480E6,-7.796,-10.61
-4.460E6,-7.764,-10.58
-4.440E6,-7.731,-10.56
-4.420E6,-7.699,-10.53
-4.400E6,-7.666,-10.51
-4.380E6,-7.633,-10.48
-4.360E6,-7.601,-10.46
-4.340E6,-7.568,-10.43
-4.320E6,-7.535,-10.41
-4.300E6,-7.501,-10.38
-4.280E6,-7.468,-10.36
-4.260E6,-7.435,-10.33
-4.240E6,-7.401,-10.31
-4.220E6,-7.368,-10.28
-4.200E6,-7.334,-10.26
-4.180E6,-7.300,-10.23
-4.160E6,-7.266,-10.21
-4.140E6,-7.232,-10.18
-4.120E6,-7.198,-10.16
-4.100E6,-7.164,-10.13
-4.080E6,-7.130,-10.11
-4.060E6,-7.095,-10.08
-4.040E6,-7.061,-10.05
-4.020E6,-7.026,-10.03
-4.000E6,-6.992,-10.00
-3.980E6,-6.957,-9.975
-3.960E6,-6.922,-9.949
-3.940E6,-6.887,-9.923
-3.920E6,-6.852,-9.897
-3.900E6,-6.817,-9.870
-3.880E6,-6.781,-9.844
-3.860E6,-6.746,-9.817
-3.840E6,-6.710,-9.791
-3.820E6,-6.675,-9.764
-3.800E6,-6.639,-9.737
-3.780E6,-6.603,-9.711
-3.760E6,-6.567,-9.684
-3.740E6,-6.531,-9.657
-3.720E6,-6.495,-9.630
-3.700E6,-6.459,-9.603
-3.680E6,-6.422,-9.575
-3.660E6,-6.386,-9.548
-3.640E6,-6.349,-9.521
-3.620E6,-6.312,-9.493
-3.600E6,-6.276,-9.466
-3.580E6,-6.239,-9.438
-3.560E6,-6.202,-9.411
-3.540E6,-6.164,-9.383
-3.520E6,-6.127,-9.355
-3.500E6,-6.090,-9.327
-3.480E6,-6.052,-9.299
-3.460E6,-6.015,-9.271
-3.440E6,-5.977,-9.243
-3.420E6,-5.939,-9.215
-3.400E6,-5.901,-9.187
-3.380E6,-5.863,-9.159
-3.360E6,-5.825,-9.130
-3.340E6,-5.787,-9.102
-3.320E6,-5.749,-9.073
-3.300E6,-5.710,-9.044
-3.280E6,-5.672,-9.016
-3.260E6,-5.633,-8.987
-3.240E6,-5.594,-8.958
-3.220E6,-5.555,-8.929
-3.200E6,-5.516,-8.900
-3.180E6,-5.477,-8.871
-3.160E6,-5.438,-8.842
-3.140E6,-5.399,-8.812
-3.120E6,-5.359,-8.783
-3.100E6,-5.320,-8.753
-3.080E6,-5.280,-8.724
-3.060E6,-5.240,-8.694
-3.040E6,-5.201,-8.664
-3.020E6,-5.161,-8.635
-3.000E6,-5.121,-8.605
-2.980E6,-5.080,-8.575
-2.960E6,-5.040,-8.545
-2.940E6,-5.000,-8.514
-2.920E6,-4.959,-8.484
-2.900E6,-4.919,-8.454
-2.880E6,-4.878,-8.423
-2.860E6,-4.837,-8.393
-2.840E6,-4.797,-8.362
-2.820E6,-4.756,-8.332
-2.800E6,-4.715,-8.301
-2.780E6,-4.673,-8.270
-2.760E6,-4.632,-8.239
-2.740E6,-4.591,-8.208
-2.720E6,-4.549,-8.177
-2.700E6,-4.508,-8.145
-2.680E6,-4.466,-8.114
-2.660E6,-4.425,-8.083
-2.640E6,-4.383,-8.051
-2.620E6,-4.341,-8.019
-2.600E6,-4.299,-7.988
-2.580E6,-4.257,-7.956
-2.560E6,-4.215,-7.924
-2.540E6,-4.173,-7.892
-2.520E6,-4.131,-7.860
-2.500E6,-4.088,-7.828
-2.480E6,-4.046,-7.795
-2.460E6,-4.003,-7.763
-2.440E6,-3.961,-7.731
-2.420E6,-3.918,-7.698
-2.400E6,-3.875,-7.665
-2.380E6,-3.833,-7.632
-2.360E6,-3.790,-7.600
-2.340E6,-3.747,-7.567
-2.320E6,-3.704,-7.534
-2.300E6,-3.661,-7.500
-2.280E6,-3.618,-7.467
-2.260E6,-3.575,-7.434
-2.240E6,-3.532,-7.400
-2.220E6,-3.489,-7.367
-2.200E6,-3.445,-7.333
-2.180E6,-3.402,-7.299
-2.160E6,-3.359,-7.265
-2.140E6,-3.315,-7.231
-2.120E6,-3.272,-7.197
-2.100E6,-3.229,-7.163
-2.080E6,-3.185,-7.129
-2.060E6,-3.142,-7.094
-2.040E6,-3.098,-7.060
-2.020E6,-3.055,-7.025
-2.000E6,-3.012,-6.991
-1.980E6,-2.968,-6.956
-1.960E6,-2.925,-6.921
-1.940E6,-2.881,-6.886
-1.920E6,-2.838,-6.851
-1.900E6,-2.794,-6.816
-1.880E6,-2.751,-6.780
-1.860E6,-2.708,-6.745
-1.840E6,-2.664,-6.709
-1.820E6,-2.621,-6.674
-1.800E6,-2.578,-6.638
-1.780E6,-2.535,-6.602
-1.760E6,-2.492,-6.566
-1.740E6,-2.449,-6.530
-1.720E6,-2.406,-6.494
-1.700E6,-2.363,-6.458
-1.680E6,-2.320,-6.421
-1.660E6,-2.277,-6.385
-1.640E6,-2.234,-6.348
-1.620E6,-2.192,-6.311
-1.600E6,-2.149,-6.275
-1.580E6,-2.107,-6.238
-1.560E6,-2.065,-6.201
-1.540E6,-2.023,-6.163
-1.520E6,-1.981,-6.126
-1.500E6,-1.939,-6.089
-1.480E6,-1.897,-6.051
-1.460E6,-1.856,-6.014
-1.440E6,-1.815,-5.976
-1.420E6,-1.774,-5.938
-1.400E6,-1.733,-5.900
-1.380E6,-1.692,-5.862
-1.360E6,-1.651,-5.824
-1.340E6,-1.611,-5.786
-1.320E6,-1.571,-5.748
-1.300E6,-1.531,-5.709
-1.280E6,-1.492,-5.671
-1.260E6,-1.452,-5.632
-1.240E6,-1.413,-5.593
-1.220E6,-1.375,-5.554
-1.200E6,-1.336,-5.515
-1.180E6,-1.298,-5.476
-1.160E6,-1.260,-5.437
-1.140E6,-1.222,-5.398
-1.120E6,-1.185,-5.358
-1.100E6,-1.148,-5.319
-1.080E6,-1.112,-5.279
-1.060E6,-1.076,-5.239
-1.040E6,-1.040,-5.199
-1.020E6,-1.005,-5.159
-1.000E6,-969.6E-3,-5.119
-980.0E3,-935.1E-3,-5.079
-960.0E3,-900.9E-3,-5.039
-940.0E3,-867.3E-3,-4.999
-920.0E3,-834.0E-3,-4.958
-900.0E3,-801.3E-3,-4.918
-880.0E3,-769.0E-3,-4.877
-860.0E3,-737.2E-3,-4.836
-840.0E3,-705.9E-3,-4.795
-820.0E3,-675.2E-3,-4.754
-800.0E3,-644.9E-3,-4.713
-780.0E3,-615.2E-3,-4.672
-760.0E3,-586.1E-3,-4.631
-740.0E3,-557.5E-3,-4.590
-720.0E3,-529.5E-3,-4.548
-700.0E3,-502.1E-3,-4.507
-680.0E3,-475.3E-3,-4.465
-660.0E3,-449.2E-3,-4.423
-640.0E3,-423.6E-3,-4.382
-620.0E3,-398.7E-3,-4.340
-600.0E3,-374.5E-3,-4.298
-580.0E3,-350.9E-3,-4.256
-560.0E3,-328.0E-3,-4.214
-540.0E3,-305.8E-3,-4.172
-520.0E3,-284.2E-3,-4.129
-500.0E3,-263.4E-3,-4.087
-480.0E3,-243.4E-3,-4.045
-460.0E3,-224.0E-3,-4.002
-440.0E3,-205.4E-3,-3.959
-420.0E3,-187.5E-3,-3.917
-400.0E3,-170.4E-3,-3.874
-380.0E3,-154.1E-3,-3.831
-360.0E3,-138.6E-3,-3.789
-340.0E3,-123.8E-3,-3.746
-320.0E3,-109.8E-3,-3.703
-300.0E3,-96.69E-3,-3.660
-280.0E3,-84.35E-3,-3.617
-260.0E3,-72.83E-3,-3.574
-240.0E3,-62.13E-3,-3.530
-220.0E3,-52.27E-3,-3.487
-200.0E3,-43.24E-3,-3.444
-180.0E3,-35.06E-3,-3.401
-160.0E3,-27.73E-3,-3.357
-140.0E3,-21.24E-3,-3.314
-120.0E3,-15.62E-3,-3.271
-100.0E3,-10.85E-3,-3.227
